Index,Lambda,Phi,Days_of_inventory,Safety_stock_cost,Safety_stock
1,0,0,60,176.22345334077986,117.48230222718657
2,0,15,15,14185.987993932777,58.741151113593276
3,15,25,0,0.0,0.0
4,25,30,0,0.0,0.0
5,0,10,0,0.0,0.0
6,0,10,0,0.0,0.0
7,0,10,0,0.0,0.0
8,0,0,0,0.0,0.0
9,0,40,0,0.0,0.0
10,0,30,0,0.0,0.0
11,10,30,0,0.0,0.0
12,0,30,0,0.0,0.0
13,40,50,0,0.0,0.0
14,30,36,0,0.0,0.0
15,36,0,41,109725.22159018443,97.11554499672029
16,0,0,1,16838.348309999998,14.805
17,0,0,2,5312.719775782952,4.652762620207483
